visual_id,visual_name,visual_type,purpose,dimension,measure,population,source,interaction_behavior,tooltip,status
P4-HEADER,Global Page Header Banner,Header Banner,"Provides page branding, title (Reports & Intelligence), subtitle, and active population context indicator",N/A,N/A,"All Students (1,500)",System Canvas,Static / Display Only,N/A,FROZEN
P4-SIDEBAR,Global Sidebar Menu,Navigation Sidebar,Provides application navigation with '04 Reports & Intelligence' highlighted as active selection,Page List,N/A,System Navigation,System Canvas,Page Switch,Click to switch dashboard pages,FROZEN
P4-FILTERS,Analytical Slicer Panel,Slicer Bar,"Allows population filtering across Branch, Gender, Placed, Preparation Segment, and PRI Category","Students[branch], Students[gender], Students[placed], Students[preparation_segment], DimReadinessCategory[readiness_category]",N/A,Slicer Selection Context,Students / DimReadinessCategory,Global Slicing,Select dimension attributes to filter report scope,FROZEN
P4-FILTER-CONTEXT,Active Population Context Bar,Text Card / Dynamic DAX,Displays readable summary of currently active slicer filters and cohort scope,Slicer Selection Context,[Active Filter Context],Filtered Cohort,DAX Dynamic,Dynamic Output,Current active filter context summary,FROZEN
P4-SUMMARY,Readiness & Intelligence Executive Summary Card,PL-InsightCard,"Consolidates top-level executive signals across Placement, Preparation, Skill Gaps, and Placement Readiness",N/A,"[Placement Rate], [Average PRI], [Average Skill Gap Count]","All Students (1,500)",DimInsightRegister / DAX,Static / Dynamic Filter Scope,Executive Intelligence Summary,FROZEN
P4-INSIGHT-01,Placement Signals Insight Card,PL-InsightCard,Displays validated baseline placement outcomes and branch disparity signals (INS-PLACEMENT-001 & INS-BRANCH-001),Insight Scope,"[Placement Rate], [Placed Students]","All Students (1,500)",DimInsightRegister,Static Baseline / Dynamic Context,Traceable Phase 4 Placement Insight,FROZEN
P4-INSIGHT-02,Skill Prevalence & Spreads Insight Card,PL-InsightCard,"Displays validated technical skill signals and observed placement spreads for SQL, Python, Cloud (INS-SKILL-001 to 003)",Technical Skills,"[SQL Skill Placement Spread], [Python Skill Placement Spread], [Cloud Skill Placement Spread]","All Students (1,500)",DimInsightRegister,Static Baseline / Dynamic Context,Traceable Phase 4 Skill Insight,FROZEN
P4-INSIGHT-03,Preparation Leverage Drivers Insight Card,PL-InsightCard,"Displays validated coding score, aptitude score, and practical project/internship leverage findings (INS-PREPARATION-001 to 004)",Preparation Drivers,"[Average Coding Score], [Average Aptitude Score]","All Students (1,500)",DimInsightRegister,Static Baseline / Dynamic Context,Traceable Phase 4 Preparation Insight,FROZEN
P4-INSIGHT-04,Readiness Index & Monotonicity Insight Card,PL-InsightCard,Displays validated Placement Readiness Index distribution and tier placement rate monotonicity (INS-READINESS-001 & 002),Readiness Tiers,"[Average PRI], [High Readiness Count]","All Students (1,500)",DimInsightRegister,Static Baseline / Dynamic Context,Traceable Phase 4 Readiness Insight,FROZEN
P4-GAP-01,Technical Skill Gap Intelligence Chart,Clustered Column / Bar Chart,Visualizes student distribution by skill gap count (0-7 gaps) with observed placement rate overlay,Students[skill_gap_count],"[Total Students], [Placement Rate]","All Students (1,500)",Students,Cross-filtering,Skill gap count population and observed placement rate,FROZEN
P4-SEGMENT-01,Preparation Quadrant Segments Chart,Stacked Bar / Matrix Visual,Displays population density and observed placement rates across 4 Phase 4 preparation segments (SEG-Q1 to SEG-Q4),Students[preparation_segment],"[Total Students], [Placement Rate]","All Students (1,500)",Students,Cross-filtering,"Segment population count, percentage, and observed placement rate",FROZEN
P4-READINESS-01,Placement Readiness Tier Distribution,Donut / Column Chart,"Visualizes population breakdown across the 4 validated readiness categories (High, Moderate, Needs Imp, High Imp Priority)",DimReadinessCategory[readiness_category],"[Total Students], [Placement Rate]","All Students (1,500)",Students / DimReadinessCategory,Cross-filtering,Readiness tier count and observed placement rate,FROZEN
P4-METHODOLOGY,Methodology & Analytical Framework Panel,Methodology Card / Text Box,"Provides clear documentation of dataset grain (1,500 students), observational non-causal rules, PRI composite weighting, and non-predictive scope",N/A,N/A,Methodology Reference,System Documentation,Static Reference,PlacementLens Analytical Methodology,FROZEN
P4-LIMITATIONS,Dataset & Analytical Limitations Panel,Limitations Card / Text Box,"Documents strict analytical guardrails: synthetic dataset, no company-name data, no recruitment dates, no causal inference, NULL package scope",N/A,N/A,Limitations Reference,System Documentation,Static Reference,Analytical Limitations & Guardrails,FROZEN
