check_id,check_name,expected,actual,status,severity,notes
P3-01,P3-P1 Checkpoint (Strategy & Plan),PASS,PASS,PASS,NONE,Analytics Strategy & BQ01-BQ21 registered and frozen
P3-02,P3-P2 Checkpoint (Python EDA),PASS,PASS,PASS,NONE,15 EDA CSV tables & 5 plots exported under outputs/eda/
P3-03,P3-P3 Checkpoint (PostgreSQL Setup),PASS,PASS,PASS,NONE,1500 records loaded to public.students with schema integrity
P3-04,P3-P4 Checkpoint (SQL Analytics),PASS,PASS,PASS,NONE,21 BQ analytical queries executed and exported under outputs/sql/
P3-05,P3-P5 Checkpoint (Python ↔ SQL Cross-Validation),PASS,PASS,PASS,NONE,23/23 validation checks passed with 0 discrepancies
P3-06,Input Dataset Row Population,"1,500 Rows","1,500 Rows",PASS,NONE,"Exact 1,500 student records verified"
P3-07,Raw Dataset Integrity Hash,59c04ee15a0112806c510225d8e75779,59c04ee15a0112806c510225d8e75779,PASS,NONE,Raw baseline 100% immutable
P3-08,Clean Dataset Integrity Hash,96023d297eec5a9a47563eaddc157d0d,96023d297eec5a9a47563eaddc157d0d,PASS,NONE,Clean baseline 100% immutable
P3-09,Python EDA Deliverables Inventory,15 CSVs + 5 Plots,15 CSVs + 5 Plots,PASS,NONE,All EDA tables and plots present and validated
P3-10,SQL Analytics Deliverables Inventory,21 BQ CSVs + 3 Audit Files,24 Files,PASS,NONE,All 21 BQ query outputs present
P3-11,Business Question Coverage,21/21 Covered,21/21 Covered,PASS,NONE,BQ01 through BQ21 answered in Python and SQL
P3-12,Dual-Path Cross-Validation,0 Discrepancies,0 Discrepancies,PASS,NONE,Verified against approved tolerances
P3-13,Target Leakage Control,Zero Leakage,Zero Leakage,PASS,NONE,Package/Company restricted to placed=TRUE
P3-14,NULL Semantics Preservation,550 NULL Packages,550 NULL Packages,PASS,NONE,Unplaced compensation strictly NULL
P3-15,Package Population Filtering,N=950 Placed,N=950 Placed,PASS,NONE,Compensation stats evaluated on placed cohort only
P3-16,Analytical Reproducibility,100% Reproducible,100% Reproducible,PASS,NONE,Scripts execute end-to-end deterministically
P3-17,Technical Documentation,Complete,Complete,PASS,NONE,All Phase 3 docs published in docs/
P3-18,Artifact Inventory Completeness,Fully Cataloged,Fully Cataloged,PASS,NONE,Cataloged in 05_phase3_artifact_inventory.csv
P3-19,Scope Compliance,No Phase 4/PowerBI/ML,Compliant,PASS,NONE,"Phase 4, Power BI, and ML strictly excluded"
P3-20,Phase 4 Readiness,READY FOR PHASE 4,READY FOR PHASE 4,PASS,NONE,Verified evidence baseline ready for handoff
