visual_id,visual_name,visual_type,purpose,dimension,measure,population,source,interaction_behavior,tooltip,status
P3-HEADER,Global Page Header Banner,Header Banner,"Provides page branding, title (Company & Package Intelligence), subtitle, and active population filter context",N/A,N/A,"All Students (1,500)",System Canvas,Static / Display Only,N/A,FROZEN
P3-SIDEBAR,Global Sidebar Menu,Navigation Sidebar,Provides application navigation with '03 Company & Package' highlighted as active selection,Page List,N/A,System Navigation,System Canvas,Page Switch,Click to switch dashboard pages,FROZEN
P3-FILTERS,Analytical Slicer Panel,Slicer Bar,"Allows multi-attribute population filtering across Branch, Gender, and Company Type","Students[branch], Students[gender], Students[company_type]",N/A,Slicer Selection Context,Students,Global Slicing,Select dimension attributes to filter page package metrics,FROZEN
P3-FILTER-CONTEXT,Active Population Context Bar,Text Card / Dynamic DAX,Displays readable summary of currently active slicer filters and cohort scope,Slicer Selection Context,[Active Filter Context],Filtered Cohort,DAX Dynamic,Dynamic Output,Current active filter context summary,FROZEN
P3-KPI-01,Placed Students KPI Card,PL-KPI-Card,Displays underlying placed population count serving as base denominator for package metrics,N/A,[Placed Students],Placed Cohort (950),Students[placed],Dynamic under slicers,Placed Student Population (Denom for Package Analytics),FROZEN
P3-KPI-02,Average Package KPI Card,PL-KPI-Card,Displays mean compensation package (LPA) for valid placed student records,N/A,[Average Package],Valid Placed Package Records (N=950),Students[package_lpa],Dynamic under slicers,Mean Compensation Package in LPA (Placed Cohort Only),FROZEN
P3-KPI-03,Median Package KPI Card,PL-KPI-Card,Displays median compensation package (LPA) for valid placed student records,N/A,[Median Package],Valid Placed Package Records (N=950),Students[package_lpa],Dynamic under slicers,50th Percentile Compensation Package in LPA (Placed Cohort Only),FROZEN
P3-KPI-04,Package IQR KPI Card,PL-KPI-Card,Displays Interquartile Range (Q3 - Q1) of compensation packages reflecting dispersion,N/A,[Package IQR],Valid Placed Package Records (N=950),Students[package_lpa],Dynamic under slicers,Interquartile Range dispersion in LPA (Q3 - Q1),FROZEN
P3-PACKAGE-01,Package Distribution (Placed Students),Histogram / Column Chart,Visualizes population density across compensation package bands (LPA Bins),Students[package_band],"[Placed Students], [Average Package]",Placed Cohort (950),Students,Cross-filtering,Package band student count and percentage of placed cohort,FROZEN
P3-COMPANYTYPE-01,Placed Students by Company Type,Horizontal Bar Chart,Shows headcount and cohort percentage distribution of placed students across 4 company types,Students[company_type],[Placed Students],Placed Cohort (950),Students,Cross-highlighting,Company type placed headcount and cohort percentage,FROZEN
P3-COMPANYTYPE-02,Package Statistics by Company Type,Clustered Column Chart,"Compares Mean Package and Median Package across the 4 company types (Product, Startup, Service, Other)",Students[company_type],"[Average Package], [Median Package]",Placed Cohort by Company Type,Students,Cross-highlighting,Company type Mean Package (LPA) and Median Package (LPA) with N context,FROZEN
P3-BRANCH-01,Package Statistics by Branch,Clustered Column / Dual Axis Chart,Compares Mean and Median Package across 6 academic branches with placed student headcount context,Students[branch],"[Average Package], [Median Package], [Placed Students]",Placed Cohort by Branch,Students,Cross-filtering,"Branch Mean Package, Median Package, and placed student headcount",FROZEN
P3-TABLE-01,Company-Type Compensation Detail Matrix,Data Table Grid,"Provides exact structured numerical breakdown by company type (Placed Count, % of Placed, Mean Package, Median Package)",Students[company_type],"[Placed Students], [Average Package], [Median Package]",Placed Cohort by Company Type,Students,Row Selection,Detailed company type compensation metrics,FROZEN
