visual_id,visual_name,visual_type,purpose,dimension,measure,source,interaction_behavior,tooltip,status
P2-HEADER,Global Page Header Banner,Header Banner,"Provides page branding, title (Student & Placement Analytics), subtitle, and active population filter context",N/A,N/A,System Canvas,Static / Display Only,N/A,FROZEN
P2-SIDEBAR,Global Sidebar Menu,Navigation Sidebar,Provides application navigation with '02 Student & Placement' highlighted as active selection,Page List,N/A,System Canvas,Page Switch,Click to switch dashboard pages,FROZEN
P2-FILTERS,Analytical Slicer Panel,Slicer Bar,"Allows multi-attribute population filtering across Branch, Gender, Placed, Preparation Segment, and PRI Category","Students[branch], Students[gender], Students[placed], Students[preparation_segment], DimReadinessCategory[readiness_category]",N/A,Students / DimReadinessCategory,Global Slicing,Select dimension attributes to filter page metrics,FROZEN
P2-FILTER-CONTEXT,Active Population Context Bar,Text Card / Dynamic DAX,Displays readable summary of currently active slicer filters and cohort scope,Slicer Selection Context,[Active Filter Context],DAX Dynamic,Dynamic Output,Current active filter context summary,FROZEN
P2-KPI-01,Average CGPA KPI Card,PL-KPI-Card,Displays mean academic CGPA for the selected student population,N/A,[Average CGPA],Students[cgpa],Dynamic under slicers,Cohort Mean CGPA (0.00 to 10.00 scale),FROZEN
P2-KPI-02,Average Coding Score KPI Card,PL-KPI-Card,Displays mean coding evaluation score for the selected student population,N/A,[Average Coding Score],Students[coding_score],Dynamic under slicers,Cohort Mean Coding Score (0 to 100 scale),FROZEN
P2-KPI-03,Average Aptitude Score KPI Card,PL-KPI-Card,Displays mean aptitude test score for the selected student population,N/A,[Average Aptitude Score],Students[aptitude_score],Dynamic under slicers,Cohort Mean Aptitude Score (0 to 100 scale),FROZEN
P2-KPI-04,Average Technical Skills KPI Card,PL-KPI-Card,Displays mean count of canonical technical skills possessed per student,N/A,[Average Technical Skill Count],Students[technical_skill_count],Dynamic under slicers,Cohort Mean Technical Skills (0 to 7 canonical skills),FROZEN
P2-PREP-01,Preparation Profile Comparison (Placed vs Unplaced),Clustered Bar / Radar Chart,"Compares key preparation metrics (CGPA, Coding, Aptitude, Comm, Projects, Internships, Tech Skills) across Placed vs Unplaced cohorts",Placement Status (Placed / Unplaced),"[Average CGPA], [Average Coding Score], [Average Aptitude Score], [Average Communication Score], [Average Projects], [Average Internships], [Average Technical Skill Count]",Students,Cross-highlighting,Shows preparation metric values and observed differences by placement status,FROZEN
P2-PREP-02,Academic CGPA Distribution by Placement Status,Stacked Bar / Box Plot Visual,Analyzes student population density across CGPA bands by placement outcome,"Students[cgpa_band], Students[placed]","[Total Students], [Placement Rate]",Students,Cross-filtering,CGPA band count and observed placement rate,FROZEN
P2-SKILL-01,Technical Skill Coverage (7 Canonical Skills),Horizontal Bar Chart,"Displays student prevalence percentage across exact 7 canonical skills (Python, SQL, Excel, Power BI, DSA, Cloud, Cybersecurity)",Technical Skills (7 Canonical),"[<Skill> Skill Prevalence], [<Skill> Skill Holders]",Students,Cross-highlighting,Skill holders count and percentage of cohort,FROZEN
P2-SKILL-02,Observed Skill Placement Rate Difference,Diverging Bar / Comparative Matrix,Compares observed placement rates between skill holders and non-holders for each of the 7 canonical skills,Technical Skills (7 Canonical),"[<Skill> Skill Placement Rate], [<Skill> Skill Placement Spread]",Students,Cross-highlighting,Placement rate for holders vs non-holders and percentage point spread,FROZEN
P2-GAP-01,Skill Gap Distribution (0 to 7 Gaps),Column Chart,Displays student population distribution across skill gap counts (skill_gap_count = 7 - technical_skill_count),Students[skill_gap_count],"[Total Students], [Placement Rate]",Students,Cross-filtering,Gap count student population and observed placement rate,FROZEN
P2-SEGMENT-01,Preparation Segment Population & Placement Evaluation,Stacked Bar / Matrix Visual,Analyzes student counts and downstream observed placement rates across the 4 Phase 4 preparation segments (SEG-Q1 to SEG-Q4),Students[preparation_segment],"[Total Students], [Placement Rate], [Comprehensive High Performers Count], [Technical Specialists Count], [Academic Generalists Count], [High Support Priority Count]",Students,Cross-filtering,"Segment student count, percentage, and observed placement rate",FROZEN
P2-PLACEMENT-01,Student Exploratory Preparation Table,Data Table Grid,"Provides limited student-level exploratory preparation metrics (ID, Branch, CGPA, Coding, Aptitude, Comm, Projects, Internships, Skills, Segment, PRI)","student_id, branch, cgpa, coding_score, aptitude_score, communication_score, projects, internships, technical_skill_count, skill_gap_count, preparation_segment, pri_score, readiness_category",N/A,Students,Row Selection,Individual student preparation details,FROZEN
