insight_id,category,question,population,population_n,comparison,variables,metric,method,numerator,denominator,value,comparison_value,difference,difference_type,direction,strength,evidence_source,interpretation,limitation,potential_action,validation_status
INS-PLACEMENT-001,INS-PLACEMENT,"What is the overall baseline placement rate across the 1,500 student population?","All Students (N=1,500)",1500,Placed vs Unplaced Cohorts,placed,Placement Rate (%),Global Population Proportion,950,1500,63.33,36.67,26.66,Percentage-Point Difference,Positive Baseline,STRONG,outputs/sql/01_bq01_overall_placement.csv & outputs/eda/06_placement_analysis.csv,"Across the 1,500 students in the dataset, 950 students are placed, establishing a baseline cohort placement rate of 63.33% (unplaced rate of 36.67%).","Synthetic, observational, cross-sectional dataset. Reflects generator baseline parameter.",Provides benchmark baseline against which all subgroup placement rates and intervention targets are evaluated.,PASS
INS-PLACEMENT-002,INS-PLACEMENT,How do core academic and preparation score means differ between placed and unplaced cohorts?,"All Students (N=1,500)",1500,Placed Cohort (N=950) vs Unplaced Cohort (N=550),"coding_score, aptitude_score, cgpa, communication_score",Group Mean Difference (Score Points / CGPA),Grouped Mean Comparison,950,1500,78.36,72.95,5.41,Score Point Spread (Coding),Positive Association,STRONG,outputs/sql/17_bq17_placed_vs_unplaced.csv & outputs/phase3/06_phase3_baseline.md,"Placed students exhibit higher mean coding scores (78.36 vs 72.95, +5.41 pts), higher aptitude scores (75.40 vs 70.21, +5.19 pts), and higher CGPA (7.81 vs 7.22, +0.59 pts) compared to unplaced students.",Observational data co-occurrence. Score differentials do not establish temporal or causal pathways.,Targeted remedial support in coding and aptitude may assist students in lower score bands.,PASS
INS-BRANCH-001,INS-BRANCH,How do observed placement rates vary across the six academic branches?,Branch Cohorts (N=105 to N=450),1500,Civil Engineering (CE) vs Mechanical Engineering (ME),"branch, placed",Branch Placement Rate (%),Grouped Proportion Hierarchy,72,105,68.57,55.83,12.74,Percentage-Point Spread,Branch Disparity,MODERATE,outputs/sql/02_bq02_branch_placement.csv & outputs/eda/05_branch_analysis.csv,"Civil Engineering (CE) exhibits the highest placement rate at 68.57% (72/105), followed by EEE (66.00%), IT (65.07%), CSE (63.78%), ECE (60.33%), and Mechanical Engineering (ME) at 55.83% (67/120), representing a 12.74 pp spread.",Sample size varies significantly across branches (CSE N=450 vs CE N=105). Observational non-causal association.,Investigate branch-specific skill alignment and recruiter drive patterns for ME and ECE.,PASS
INS-BRANCH-002,INS-BRANCH,What is the impact of subgroup sample size variance across branches on analytical reliability?,Branch Subgroups (N=105 to N=450),1500,"Small Subgroups (CE N=105, ME N=120) vs Large Subgroups (CSE N=450, IT N=375)",branch,Subgroup Sample Size (N),Sample Size Constraint Evaluation,105,1500,7.0,30.0,23.0,Percentage Share,Heterogeneous Group Sizes,DESCRIPTIVE,outputs/sql/02_bq02_branch_placement.csv,"CSE and IT comprise 55.0% of the student population (825/1,500), whereas CE (N=105) and ME (N=120) represent smaller cohorts. All branches meet the N >= 30 sample threshold.",Branch rate comparisons must account for group size variance; higher variance is present in smaller branch samples.,Flag branch subgroup sizes explicitly in executive reporting to contextualize rate rankings.,PASS
INS-SKILL-001,INS-SKILL,What is the observed placement rate spread associated with SQL skill possession?,"All Students (N=1,500)",1500,"SQL Holders (N=1,169) vs SQL Non-Holders (N=331)","sql_skill, placed",Placement Spread (pp),Grouped Proportion Spread,764,1169,65.36,56.19,9.17,Percentage-Point Spread,Positive Association,STRONG,outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,"Students possessing SQL skill exhibit a placement rate of 65.36% (764/1,169) compared to 56.19% (186/331) for non-holders, establishing a +9.17 percentage-point higher observed placement rate.",Observational data. SQL skill possession may co-occur with higher overall preparation or project counts.,SQL represents a high-value skill candidate for institutional technical bootcamps.,PASS
INS-SKILL-002,INS-SKILL,What is the observed placement rate spread associated with Python skill possession?,"All Students (N=1,500)",1500,"Python Holders (N=1,177) vs Python Non-Holders (N=323)","python_skill, placed",Placement Spread (pp),Grouped Proportion Spread,763,1177,64.83,57.89,6.94,Percentage-Point Spread,Positive Association,STRONG,outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,"Students with Python skill achieve a placement rate of 64.83% (763/1,177) vs 57.89% (187/323) for non-holders, representing a +6.94 percentage-point higher observed placement rate.",Observational co-occurrence. Does not prove Python skill independently causes hiring.,Include Python programming as a core foundational technical module across all branches.,PASS
INS-SKILL-003,INS-SKILL,What is the observed placement spread associated with Cloud Computing skill possession?,"All Students (N=1,500)",1500,"Cloud Holders (N=485) vs Cloud Non-Holders (N=1,015)","cloud_skill, placed",Placement Spread (pp),Grouped Proportion Spread,327,485,67.42,61.38,6.04,Percentage-Point Spread,Positive Association,MODERATE,outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,"Cloud Computing skill holders (prevalence 32.33%, N=485) demonstrate a placement rate of 67.42% vs 61.38% for non-holders (N=1,015), representing a +6.04 percentage-point spread.",Lower prevalence skill (32.33%); sample size N=485. Observational non-causal pattern.,Expand cloud computing elective availability to address the 67.67% student absence gap.,PASS
INS-SKILL-004,INS-SKILL,What is the observed placement spread for Cybersecurity skill possession?,"All Students (N=1,500)",1500,"Cybersecurity Holders (N=297) vs Non-Holders (N=1,203)","cybersecurity_skill, placed",Placement Spread (pp),Grouped Proportion Spread,181,297,60.94,63.92,-2.98,Percentage-Point Spread,Negative / Inverse Association,MODERATE,outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,"Cybersecurity skill holders exhibit a placement rate of 60.94% (181/297) compared to 63.92% (769/1,203) for non-holders, showing a -2.98 percentage-point inverse spread in this dataset.",Subgroup N=297 (19.80% prevalence). Inverse association may reflect non-technical branch distribution.,Avoid assuming all technical skills uniformly increase general campus placement rates.,PASS
INS-SKILL-005,INS-SKILL,How does technical skill count breadth relate to observed placement rates?,"All Students (N=1,500)",1500,Skill Count = 6 (N=181) vs Skill Count = 2 (N=122),"technical_skill_count, placed",Placement Rate by Skill Count (%),Bivariate Ordinal Frequency Analysis,128,181,70.72,47.54,23.18,Percentage-Point Spread,Positive Monotonic Pattern,STRONG,outputs/sql/12_bq12_skill_count_placement.csv & outputs/phase3/06_phase3_baseline.md,Students with 6 technical skills achieve a 70.72% placement rate (128/181) vs 47.54% (58/122) for students with 2 skills. Placed cohort median is 4.0 skills vs 3.0 for unplaced.,"Extreme skill counts (0 skills N=2, 7 skills N=33) have small subgroup sample sizes.",Encourage students to build a broad portfolio of at least 4 core technical skills.,PASS
INS-ACADEMIC-001,INS-ACADEMIC,How do observed placement rates vary across CGPA academic performance bands?,"All Students (N=1,500)",1500,"High CGPA Band (9.0-10.0, N=109) vs Low CGPA Band (<6.0, N=160)","cgpa, placed",Placement Rate by Band (%),Categorical Banding Comparison,81,109,74.31,58.75,15.56,Percentage-Point Spread,Positive Academic Gradient,STRONG,outputs/sql/03_bq03_cgpa_placement.csv,"Placement rates rise monotonically across CGPA bands: <6.0 (58.75%), 6.0-6.99 (56.94%), 7.0-7.99 (61.69%), 8.0-8.99 (73.23%), and 9.0-10.0 (74.31%), establishing a 15.56 pp spread.",Observational association. High CGPA may co-occur with higher aptitude or preparation discipline.,Maintain academic eligibility initiatives for students with CGPA < 7.0 to cross screening cutoffs.,PASS
