insight_id,category,analytical_question,population_scope,evidence_source,status,priority
INS-PLACEMENT-001,INS-PLACEMENT,"What is the overall baseline placement rate across the 1,500 student population?","All Students (N=1,500)",outputs/sql/01_bq01_overall_placement.csv & outputs/eda/06_placement_analysis.csv,PASS,HIGH
INS-PLACEMENT-002,INS-PLACEMENT,How do core academic and preparation score means differ between placed and unplaced cohorts?,"All Students (N=1,500)",outputs/sql/17_bq17_placed_vs_unplaced.csv & outputs/phase3/06_phase3_baseline.md,PASS,HIGH
INS-BRANCH-001,INS-BRANCH,How do observed placement rates vary across the six academic branches?,Branch Cohorts (N=105 to N=450),outputs/sql/02_bq02_branch_placement.csv & outputs/eda/05_branch_analysis.csv,PASS,MEDIUM
INS-BRANCH-002,INS-BRANCH,What is the impact of subgroup sample size variance across branches on analytical reliability?,Branch Subgroups (N=105 to N=450),outputs/sql/02_bq02_branch_placement.csv,PASS,LOW
INS-SKILL-001,INS-SKILL,What is the observed placement rate spread associated with SQL skill possession?,"All Students (N=1,500)",outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,PASS,HIGH
INS-SKILL-002,INS-SKILL,What is the observed placement rate spread associated with Python skill possession?,"All Students (N=1,500)",outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,PASS,HIGH
INS-SKILL-003,INS-SKILL,What is the observed placement spread associated with Cloud Computing skill possession?,"All Students (N=1,500)",outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,PASS,MEDIUM
INS-SKILL-004,INS-SKILL,What is the observed placement spread for Cybersecurity skill possession?,"All Students (N=1,500)",outputs/sql/11_bq11_skill_spread.csv & outputs/eda/09_skill_placement_analysis.csv,PASS,MEDIUM
INS-SKILL-005,INS-SKILL,How does technical skill count breadth relate to observed placement rates?,"All Students (N=1,500)",outputs/sql/12_bq12_skill_count_placement.csv & outputs/phase3/06_phase3_baseline.md,PASS,HIGH
INS-ACADEMIC-001,INS-ACADEMIC,How do observed placement rates vary across CGPA academic performance bands?,"All Students (N=1,500)",outputs/sql/03_bq03_cgpa_placement.csv,PASS,HIGH
INS-ACADEMIC-002,INS-ACADEMIC,What is the statistical association between CGPA score and placement status?,"All Students (N=1,500)",outputs/eda/12_correlation_matrix.csv & outputs/sql/17_bq17_placed_vs_unplaced.csv,PASS,HIGH
INS-PREPARATION-001,INS-PREPARATION,What is the observed placement spread across coding score performance bands?,"All Students (N=1,500)",outputs/sql/04_bq04_coding_placement.csv,PASS,HIGH
INS-PREPARATION-002,INS-PREPARATION,How do aptitude scores associate with placement rate differences?,"All Students (N=1,500)",outputs/sql/05_bq05_aptitude_placement.csv,PASS,HIGH
INS-PREPARATION-003,INS-PREPARATION,What is the association between practical project count and placement rate?,"All Students (N=1,500)",outputs/sql/07_bq07_projects_placement.csv,PASS,MEDIUM
INS-PREPARATION-004,INS-PREPARATION,How does industry internship experience associate with student placement rates?,"All Students (N=1,500)",outputs/sql/08_bq08_internships_placement.csv,PASS,MEDIUM
INS-COMPENSATION-001,INS-COMPENSATION,How does compensation (package LPA) vary across recruiting company types among placed students?,Placed Cohort Only (N=950),outputs/sql/15_bq15_package_by_company.csv & outputs/eda/11_package_analysis.csv,PASS,HIGH
INS-COMPENSATION-002,INS-COMPENSATION,What are the overall compensation distribution characteristics for placed students?,Placed Cohort Only (N=950),outputs/eda/11_package_analysis.csv & outputs/sql/13_bq13_package_distribution.csv,PASS,HIGH
INS-READINESS-001,INS-READINESS,What is the status of student-level Placement Readiness Index (PRI) results in Phase 4 Part 2?,"All Students (N=1,500)",docs/placement_readiness_framework.md & 00_project_blueprint/49_phase_4_part_1_completion_report.md,PASS,LOW
