question_id,stakeholder,business_question,analytical_question,primary_metric,dimensions,dataset_fields,analysis_method,Python_required,SQL_required,visualization_candidate,leakage_risk,causal_interpretation_allowed,priority
BQ01,All,What is the overall placement rate?,What proportion of the total student population secured placement?,placement_rate,Overall,placed,Univariate Proportion,TRUE,TRUE,FALSE,NONE,FALSE,HIGH
BQ02,Management,How does placement rate vary by branch?,What is the placement rate within each academic branch?,branch_placement_rate,branch,branch;placed,Crosstabulation / GroupBy,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ03,Students,How does placement vary across CGPA levels?,What is the placement rate across different CGPA bands?,cgpa_placement_rate,cgpa_band,cgpa;placed,Banded GroupBy / Binning,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ04,Students,How does placement vary across coding-score levels?,What is the placement rate across coding score performance bands?,coding_score_placement_rate,coding_score_band,coding_score;placed,Banded GroupBy / Binning,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ05,Students,How does placement vary across aptitude-score levels?,What is the placement rate across aptitude score performance bands?,aptitude_score_placement_rate,aptitude_score_band,aptitude_score;placed,Banded GroupBy / Binning,TRUE,TRUE,FALSE,NONE,FALSE,MEDIUM
BQ06,Students,How does placement vary across communication-score levels?,What is the placement rate across communication score bands?,communication_score_placement_rate,communication_score_band,communication_score;placed,Banded GroupBy / Binning,TRUE,TRUE,FALSE,NONE,FALSE,MEDIUM
BQ07,Students,How does placement vary by number of projects?,What is the placement rate corresponding to 0, 1, 2, or 3+ projects?,project_placement_rate,projects,projects;placed,Categorical GroupBy,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ08,Students,How does placement vary by number of internships?,What is the placement rate corresponding to 0, 1, 2, or 3+ internships?,internship_placement_rate,internships,internships;placed,Categorical GroupBy,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ09,Students,How does placement vary based on technical skill ownership?,What is the placement rate for students possessing vs not possessing each skill?,skill_placement_rate,skill_flag,python_skill;sql_skill;excel_skill;power_bi_skill;dsa_skill;cloud_skill;cybersecurity_skill;placed,Skill Crosstabulation,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ10,Management,Which technical skills have the highest prevalence?,What percentage of students possess each of the 7 technical skills?,skill_prevalence,skill_name,python_skill;sql_skill;excel_skill;power_bi_skill;dsa_skill;cloud_skill;cybersecurity_skill,Univariate Proportion,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ11,Management,Which skills show the largest difference in placement rate?,What is the percentage point difference in placement between skill=1 vs skill=0?,skill_impact_spread,skill_name,python_skill;sql_skill;excel_skill;power_bi_skill;dsa_skill;cloud_skill;cybersecurity_skill;placed,Differential Spread Calculation,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ12,Students,How does the number of technical skills possessed relate to placement rate?,How does placement rate scale with total skill count (0-7)?,skill_count_placement_rate,technical_skill_count,python_skill;sql_skill;excel_skill;power_bi_skill;dsa_skill;cloud_skill;cybersecurity_skill;placed,Derived Feature GroupBy,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ13,Management,What is the package distribution among placed students?,What are the median, IQR, mean, and range of salary packages among placed students?,median_package,placed_population,package_lpa;placed,Conditional Univariate Distribution,TRUE,TRUE,TRUE,HIGH_IF_PREDICTOR,FALSE,HIGH
BQ14,Management,How does median package vary by branch?,What is the median salary package across academic branches for placed students?,branch_median_package,branch,branch;package_lpa;placed,Conditional GroupBy Median,TRUE,TRUE,TRUE,HIGH_IF_PREDICTOR,FALSE,HIGH
BQ15,Management,How does median package vary by company type?,What is the median package across Product, Service, Startup, and Other companies?,company_median_package,company_type,company_type;package_lpa;placed,Conditional GroupBy Median,TRUE,TRUE,TRUE,HIGH_IF_PREDICTOR,FALSE,HIGH
BQ16,Students,How do academic/preparation indicators differ across package levels?,How do scores and skills differ between lower vs top tier package holders?,package_tier_profile,package_band,cgpa;coding_score;aptitude_score;communication_score;technical_skill_count;package_lpa;placed,Conditional Segment Comparison,TRUE,TRUE,FALSE,HIGH_IF_PREDICTOR,FALSE,MEDIUM
BQ17,All,How do placed and unplaced students differ across preparation metrics?,What are the mean/median differences in scores, experience, and skills between placed and unplaced cohorts?,cohort_score_diff,placed_status,cgpa;coding_score;aptitude_score;communication_score;projects;internships;python_skill;sql_skill;excel_skill;power_bi_skill;dsa_skill;cloud_skill;cybersecurity_skill;placed,Two-Cohort Metric Comparison,TRUE,TRUE,TRUE,NONE,FALSE,HIGH
BQ18,All,Which preparation indicators have the strongest observed association with placement?,What are the Pearson, Point-Biserial, and Spearman correlation coefficients with placement?,correlation_coefficient,metric_pair,all_numeric_features;placed,Correlation Analysis,TRUE,FALSE,TRUE,NONE,FALSE,HIGH
BQ19,Management,Which branches appear to need stronger preparation support?,Which branches exhibit below-average placement rates and score deficits?,branch_risk_index,branch,branch;placed;cgpa;coding_score;communication_score,Multi-metric Branch Profiling,TRUE,TRUE,FALSE,NONE,FALSE,HIGH
BQ20,Management,Which skill areas appear to have the largest improvement opportunity?,Which skills show low prevalence but high placement impact spread?,skill_opportunity_gap,skill_name,python_skill;sql_skill;excel_skill;power_bi_skill;dsa_skill;cloud_skill;cybersecurity_skill;placed,Matrix Gap Analysis,TRUE,TRUE,FALSE,NONE,FALSE,HIGH
BQ21,Students,What preparation patterns are visible among higher-package students?,What combinations of CGPA, coding score, and skill count characterize high-package earners?,high_package_profile,package_tier,cgpa;coding_score;projects;internships;technical_skill_count;package_lpa;placed,Conditional Multi-attribute Analysis,TRUE,TRUE,FALSE,HIGH_IF_PREDICTOR,FALSE,MEDIUM
